id,title,author_info,rating,pros,cons,Categories
480,Nothing,"May 16, 2022 - Investigation Specialist in Hyderābād",5,"Good place to work, Supportive environment.","Managers are not good, some are political",Technology
481,Best work life experience,"May 16, 2022 - Catalog Specialist in Hyderābād",5,Better work culture Low pressure of work High pay scale Flexible shifts,Interview process takes more time and can be done better,Technology
482,Nonw,"May 16, 2022 - Business Operations Specialist in Hyderābād",5,"Very good company, salary is good",we do have to extend our work on regular basis,Culture
483,An excellent and talented data analyst with skills that can be a mutual benefit.,"May 16, 2022 - in Hyderābād",5,A very good and unbiased working environment with a vast diversity of colleagues who help each other learn new things and grow.,"The metrics are very high, meeting and maintaining them makes it challenging as well as interesting.",Technology
484,Great company for hardworking people,"May 16, 2022 - Catalog Operations Manager in Bangalore",5,1. Empowers you to carry out your ideas 2. Get to work with super smart people 3. Truly believes and follows the leadership principles 4. Easy reachable leadership team,"Need to dedicate a lot of time, probably X2 times of a traditional company",Management
485,Great company with good salary.,"May 16, 2022 - Software Development Engineer I in Bangalore",5,"Always day 1 culture is followed, due to which you will have a lots of scope to up skill yourself. Good projects are given and your work will impact millions of people around the world.",Sometimes you can have more work to do. Depends upon person to person how you handle your daily routine.,Technology
486,Great work culture,"May 29, 2022 - ML Data Associate-1 in Hyderābād",4,Very good place to work Good people Good amenities,Tiring work. Feels like the mundane everyday work.,Culture
487,A place where you can imagine yourself working for a greater purpose..,"May 30, 2022 - Financial Analyst in Bangalore",4,#NAME?,"Don't have time to think about cons.. Fortunate enough to have got an opportunity to work for a prestigious, strong brand like Amazon. There will be few things in terms of HR policy, compensation, designation, promotions, etc. which won't be as per expectations, but its not a deal breaker.",Technology
488,Could be better,"May 30, 2022 - Technical Account Manager in Hyderābād",4,"I have worked with 4 companies in my 7 year work experience and I returned to Amazon for it flexibility of Internal job movement, but it is not as smooth as it used to be few year ago.","Stagnation: Many roles in Amazon are becoming stagnant Culture: From my experience of 3 years 9 months Amazon work culture has deteriorated, Initially it used to be a perfect balance(work/fun/growth/communication/beyond work friends), but lately the atmosphere has become competitive and 'just about work'",Technology
489,Good work life balance,"May 30, 2022 - Customer Service Associate in Noida",4,#NAME?,#NAME?,Management
490,Good to go,"May 30, 2022 - Associate in Jaipur, Rajasthan",4,Amazon in your cv is a must for your future.,No time for life and personal stuff.,Technology
491,Good Company,"May 30, 2022 - Customer Service Representative in Pune",4,"benefits offered, Salary above Avg, Culture",Less Growth as many people for same profile,Culture
492,Great compqny,"May 30, 2022 - Senior Associate in Bangalore",4,Good culture and work life balance,Bad growth in terms of promotion,Culture
493,Product safety document review. Senior Associate,"May 31, 2022 - Senior Compliance Associate (L3) in Bangalore",2,Fine salary hike in the last appraisal. Friendly atmosphere,i am working in product safety doc review team. Managers introducing useless tools to get promotion. Increased work pressure. Micro management.,Technology
494,"Toxic culture, very fast pace environment","May 30, 2022 - Anonymous Employee in Bangalore",3,Responsibilities and scope to grow,"Long work hours, work on weekends, still performance not satisfactory to seniors",Technology
495,Good,"May 15, 2022 - Amazon Vcs in Mangalore",5,Good company to work with,Its the best tech support company,Culture
496,Good place to work,"May 15, 2022 - Customer Service Associate in Mumbai",5,Amazing place and good job role,None I had no issues,Technology
497,Amazing team to work,"May 15, 2022 - Software Development Engineer (SDE) II in Gurgaon, Haryana",5,"Depends on team to team, but I have a great team Great growth opportunity",No extra perks Compensation low as compared to other similar porduct companies like MAANG,Culture
498,work on interesting challenges,"May 29, 2022 - Program Manager in Hyderābād",4,"good pay, amazing smart colleagues and leadership",work life balance and transparency in promotions,Management
499,Good,"May 29, 2022 - AVOC Associate in Bangalore",4,Better culture around the people,Salary hike could be better,Culture
500,Best Organization as per my experience,"May 29, 2022 - SDS Associate in Calcutta",4,Working profile and Working environment.,Package and the Shift Management could have been better.,Technology
501,Good work,"May 29, 2022 - BIE Amazon in Bangalore",4,Fast passed work can lead to growth,Work life balance becomes difficult,Management
502,Amazon CSA,"May 30, 2022 - Customer Service Agent in Pune",2,Exact 8 hrs of working,rotational weekoff and target setting,Human_Resources
503,Focus on work and not optics,"May 29, 2022 - Senior Program Manager in Bangalore",3,1. Good work life balance 2. Great pay scale,1. Leaders are agressive and sometimes meam 2. Doc writing and weekly reviews take an undue share of your time 3. Promotions are dependent on managers,Technology
504,Bin,"May 13, 2022 - Auditor in New Delhi",5,Best company to work with,You will not leave this,Culture
505,superb,"May 13, 2022 - TRON SME- L3 in Hyderābād",5,everything is great at Amazon.,There is nothing to share about negatives,Culture
506,Best company to work,"May 13, 2022 - Transaction Risk Investigator in Hyderābād",5,Very friendly environment and great place to work,Nothing every thing is well managed,Culture
507,Nothing,"May 13, 2022 - Senior Process Associate in Bangalore",5,Always cool place to work,Nothing much dont have any,Technology
508,good,"May 27, 2022 - Retail Associate in Chen",4,nice place to work and good benefits.,low pay and hike is also very less,Technology
509,Good,"May 27, 2022 - Software Development Engineer (SDE) in Hyderābād",4,great infrastructure and work environment,i can't find any cons,Human_Resources
510,Best Organization as per my experience,"May 29, 2022 - SDS Associate in Calcutta",4,Working profile and Working environment.,Package and the Shift Management could have been better.,Technology
511,Good work,"May 29, 2022 - BIE Amazon in Bangalore",4,Fast passed work can lead to growth,Work life balance becomes difficult,Management
512,Amazon CSA,"May 30, 2022 - Customer Service Agent in Pune",2,Exact 8 hrs of working,rotational weekoff and target setting,Human_Resources
513,Focus on work and not optics,"May 29, 2022 - Senior Program Manager in Bangalore",3,1. Good work life balance 2. Great pay scale,1. Leaders are agressive and sometimes meam 2. Doc writing and weekly reviews take an undue share of your time 3. Promotions are dependent on managers,Technology
514,Bin,"May 13, 2022 - Auditor in New Delhi",5,Best company to work with,You will not leave this,Culture
515,superb,"May 13, 2022 - TRON SME- L3 in Hyderābād",5,everything is great at Amazon.,There is nothing to share about negatives,Culture
516,Best company to work,"May 13, 2022 - Transaction Risk Investigator in Hyderābād",5,Very friendly environment and great place to work,Nothing every thing is well managed,Culture
517,Nothing,"May 13, 2022 - Senior Process Associate in Bangalore",5,Always cool place to work,Nothing much dont have any,Technology
518,good,"May 27, 2022 - Retail Associate in Chen",4,nice place to work and good benefits.,low pay and hike is also very less,Technology
519,Good,"May 27, 2022 - Software Development Engineer (SDE) in Hyderābād",4,great infrastructure and work environment,i can't find any cons,Human_Resources
520,Grt place to work,"May 12, 2022 - Senior Program Manager in Bangalore",5,Learnings deep dives massive horizon to explore good compensation,Hectic work life balance stress,Culture
521,Great company,"May 12, 2022 - Sps Associate in Hyderābād",5,"Flexibility , Benefits, Good work environment",Nothings as such that I'd like to mention,Culture
522,Nothing,"May 12, 2022 - Customer Service Associate in Pune",5,Good Work Environment. Top-notch perks and goodies.,Rational Shifts. (After every 6 months),Technology
523,Awesome company to work,"May 12, 2022 - Senior Associate in Bangalore",5,Benefits and work environment and good work life balance,Nothing as such apart from some teams salary,Culture
524,Great place to work at!,"May 12, 2022 - Recruiter in Bangalore",5,Its been a great experience. Interviews were scheduled so quickly and the feedback was given on the next day itself. Offer release process was also very quick.,So far so good - None,Technology
525,Good,"May 12, 2022 - Financial Analyst in New Delhi",5,Amazon provides the best work experience Work culture is extremely good,It's recruitment takes a lot of time,Culture
526,Great work environment,"May 12, 2022 - Account Manager in Hyderābād",5,Great environment to grow and learn,Delayed promotions due to management alignment,Management
527,Transaction Risk Investigator,"May 12, 2022 - Transaction Risk Investigator in Hyderābād",5,Everthing is great place to work,no cons as far now only thing is salary,Technology
528,Work as a RC associate,"May 26, 2022 - VBI-RC Associate in Calcutta",4,Salary Work from home Good environment,Boring process Night shifts can make your insomniac,Technology
529,Good work environment,"May 26, 2022 - Risk Analyst in Hyderābād",4,Decent payscale work life balance,Nothing much to learn in this job role,Technology
530,Work,"May 26, 2022 - Test Engineer in Chennai",4,Very peaceful environment Good work life balance,Slow growth No opportunity Low salary No guidance,Management
531,Average Work life balance,"May 27, 2022 - SDE1 Entry in Bangalore",2,Offer a very good compensation,The work life balance is poor specially in aws teams.,Culture
532,Dont expect a lot from the role,"May 26, 2022 - Programmer Analyst in Bangalore",3,"Good Workplace, decent tech stack, Decent Work life balance, Good benefits",Work in the role is not as interesting. You will be treated as support team and given tasks that SDEs think are beneath them.,Technology
533,Average,"May 26, 2022 - Senior Java Developer in Noida",3,Good salary Nice projects Learning Work station,Politics Average hike No work life balance,Technology
534,great learning graph,"May 26, 2022 - SDE-2 Backend in Bangalore",3,exposure to the updated tech stack,work-life balance would be at stack,Technology
535,Digital Associate Review,"May 26, 2022 - Digital Associate in Chennai",3,This job has high work/life balance. Fixed Shift.,No must benefits. No must compensation.,Technology
536,Best org to be part of your career,"May 11, 2022 - Senior Applications Engineer in Chennai",5,"1. Everything is documented - Right from interviews until you are onboarded to the team, you have every detail available with you. 2. A lot of internal tools each serving specific purpose - This makes your life easier. 3. Competitive salary. 4. Apart from salary, employees are entitled to lot of Benefits. 5. Team members and manager(s) are very supportive 6. There is a reason why #FAANG culture stands out. And I am now experiencing it. Aweeeeeesomeeeee!",1. Remembering which tool to use at what situation is sometimes overwhelming. Bookmarking them could solve this.,Technology
537,Satisfactory,"May 11, 2022 - Software Engineer in Pune",5,You get good opportunity to learn a lot,"no cons, seems to be all good",Management
538,Best Place to work,"May 11, 2022 - Program Manager in Bangalore",5,Too many things to learn Great opportunities,Work life balance goes for a toss at times,Technology
539,Review,"May 11, 2022 - Catalog Associate FR in Bangalore",5,"Amazon is the fastest growing company in the world. The way Amazon values its customers, Where the growth of its customers is directly proportional to the growth of the company is inspiring. The training sessions are designed in such a way that one is equipped with all types of information and resources. Amazon is in consistent process of inventing better, bold innovation and thinking for the long term. And as it says it's still day 1 at amazon, amazon strives to deeply understand its customers, simultaneously motivating it's team to always be curious and experimental.",None. There is no cons about this company.,Technology
540,Great culture and bunch of opportunities to grow,"May 10, 2022 - Transaction Risk Investigator (TRMS) in Bangalore",5,"Competitive salary, Growth opportunities, Brand culture","None, if you get a great team to work with!",Culture
541,My Experience with Amazon,"May 23, 2022 - Manager Operations in Hyderābād",4,You will get to learn a lot from the best brains. Pay perks are good,"In a few departments, there is no work-life balance and a lot of work harassment which led people to resign. No support from HR",Human_Resources
542,Great company to work,"May 24, 2022 - Microsite Associate in Hyderābād",4,"Work culture, Challenges, Perks at work, Events , post peak parties","metrics, performance plans, slow growth, hike problem",Culture
543,One of the best employers,"May 24, 2022 - Selling Partner Support Associate in Noida",4,#NAME?,#NAME?,Technology
544,Learn professionalism,"May 24, 2022 - Automation Analyst in Chennai",4,"We could definitely learn job, technology, professionalism, handling pressure and more, bit challenging at early stages.",Work pressure might stress at times is caution high,Technology
545,Excellent,"May 24, 2022 - Senior Data Scientist in Bangalore",4,Handsome pay and too much challenging,poor work life balance and no holidays on max weekends.,Technology
546,Not a good place to work,"May 24, 2022 - SDE-2 in Hyderābād",2,Nothing is good at amazon,"- No work life balance - Everything is driven by leadership only, you can't make decision. If you'll provide any true feedback, you'll get diplomatic answer only from leadership. - Everything is measured in quantity not in quality. Like: how many projects have you delivered, how many tickets have you resolved. No one focuses on quality of work delivered. - Everything will be given to you even the work is not in your domain. If you won't do you are not an owner. Lol.",Technology
547,Superb,"May 24, 2022 - Transportation Specialist in Hyderābād",4,Friendly nature Day 1 Good frndss Good perks Good bathroom,Over time No proper training Rest Is Ok,Management
548,Good learning,"May 24, 2022 - SDE 1 in Bangalore",4,Good learning for me Great team,Not much perks Sometimes you need to push,Management
549,Great work culture,"May 24, 2022 - Customer Service Representative in Hyderābād",4,Work Life balance is great Good pay,Not found any as of now,Culture
550,Ruining employees career,"Jun 14, 2022 - Digital Associate in Chennai",1,No pros except work environment,Partiality between employees... Forming groupism and the internal politics is a total disaster ... I would never recomend this role at amazon... Managing people in this domain are ruining company's reputation,Human_Resources
551,Great job for work life balance,"May 6, 2022 - Device Associate in Chennai",5,#NAME?,#NAME?,Culture
552,No Growth Opportunity | Work Politics in Compliance Operations,"May 24, 2022 - Senior Associate Product Compliance in Pune",3,Work Culture in other process apart from Compliance Operations is great!,Work Politics Favoritism Stringent Growth Patter - It takes a lottttt to get promoted in compliance operations Some managers do lot of micromanagement,Technology
553,A good place to work as well a good place stess out,"May 24, 2022 - Quality Specialist in Hyderābād",3,You get paid on time,You really don't understand what you're doing and feel stagnant,Technology
554,Best company to start your carrer,"May 8, 2022 - Associate in Greater Noida",5,Amazing company to start and grow your carrer,Literally no cons if you are working in Amazon,Culture
555,I want job,"May 9, 2022 - Picker/Packer in Thiruvalla",5,The best amazon in India,Good work in company in amazon,Culture
556,Best of all time,"May 9, 2022 - Program Manager WFM in Hyderābād",5,Good Environment Supportive Managers & Peers Healthy Lifestype Good Worklife balance,"There is little bit work pressure, Tight deadlines.",Technology
557,Recruiting services,"May 9, 2022 - Senior Associate in Hyderābād",5,Best company to work anytime,Nothing from my end all is well,Culture
558,Good,"May 9, 2022 - Quality Analyst in Bangalore",5,Good work life balance with decent salary.,"Not much, just salary can be a bit more.",Management
559,Sr prod compliance,"May 9, 2022 - Prod Compliance Senior Associate in Bangalore",5,Best place to work. Values their employees,None they are good in all aspects,Culture
560,Ml data associate,"May 9, 2022 - ML Data Associate-1 in Hyderābād",5,"Good work environment, good growth",No cons I'm sattisfied with my job,Management
561,Ocean of Opportunities,"May 9, 2022 - Cloud Support Engineer I in Bangalore",5,#NAME?,#NAME?,Management
562,Best office environment,"May 23, 2022 - Customer Service Associate (CSA) in Pune",4,Good work culture and amenities.,The management is really slow in decision-making process.,Management
563,Shipping and Delivery Support,"May 23, 2022 - Associate in Calcutta",4,Great Culture and supportive environment.,High Work pressure and low growth,Culture
564,I had the best experience in Amazon,"May 23, 2022 - Quality Specialist in Hyderābād",4,"flexible timings, supportive management, timely salary, leave policy, maternity benefits","skill development, less growth, monotonous work",Management
565,"Data engineer II , Amazing Amazon","May 20, 2022 - in Chennai",4,"Amazing on-boarding experience. you will get 3 months to get settled with well documented task and training that you need to understand how Amazon works. Big Pay check ✅ inclusion of Base pay, Bonus(first 2 years of joining) and RSU(Amazon stocks). You will get chance to work with talented and supporting individuals team members. Learning and Growth.","Though Amazon striving to be Best employee centric company.However Work life balance can be improved little bit ,it's not because manager asked to strech.Its because you will do it and things moves fast in Amazon. Base pay could have been better and try to negotiate with base pay whenever you are negotiating.",Technology
566,Salary,"May 8, 2022 - Software Developer in Hyderābād",5,Flexibilty Work From Home Training Nice Work Culture Diversity,work burden at some times but can be managed,Culture
567,A,"May 8, 2022 - Program Manager in New Delhi",5,Good company to work for,Increments are on the lower side,Culture
568,A good work environment,"May 8, 2022 - Transportation Specialist in Hyderābād",5,Work culture and ethics are good.,Unless you are in tech side of job world it doesn’t pay as much as expected but you can rise through.,Technology
569,Job,"May 22, 2022 - Training Specialist in Calcutta",4,Good one for work from home,No such Cons. 24*7 shift,Technology
570,Mixed,"May 22, 2022 - Customer Service Representative in Hyderābād",4,Good salary for fresher u,Weak management and workload is really high on customer service,Management
571,One of the best but not for L2 s in CS,"May 22, 2022 - Customer Service Representative in Hyderābād",4,"Best place to work for but the promotions are a little beyond your limits,",you need to be very lucky to crack those. No hard work nothing.,Technology
572,Suitable for people who could adjust and tolerance,"May 19, 2022 - in Chennai",4,* Extremely good pay * Great learning and moving projects in certain orgs * Intelligent and friendly peers/manager in my team,* Have very defined processes and lack scope of innovation in well built/old organizations * Devices org/Alexa/Kindle in Indian teams does not have a challenging charter .Kind of boring projects and high OE * Oncall sucks on past 1 year almost woken up around 22 days on 2 am-3am for attending OE items.OE load is quite high on some teams.,Technology
573,Good work environment but low pay,"May 22, 2022 - Content Reviewer in Bangalore",3,1. Team involvement 2. individuality 3. ideas are welcomed,"1. Low salary for freshers, which is not expected from a company as big as amazon. Some startups are paying better with same work environment.",Culture
574,Good but no growth,"May 22, 2022 - Customer Service Associate in Hyderābād",3,Salary and other benefits or allowances,No growth at all. No IJPs or No option to switch jobs,Technology
575,Best workplace,"May 7, 2022 - CSA - Customer Service Associate in Coimbatore",5,#NAME?,#NAME?,Culture
576,exleclent app,"May 7, 2022 - in Hyderābād",5,excellent and largest seller Amazon,i have accepted challenges Amazon,Technology
577,worklife balance,"May 7, 2022 - Anonymous Employee in Coimbatore",5,"i feel amazon is the best place i worked ever. it give more opportunity to improve myself because of work life balance, great work culture","i dont feel any bad from my side, everything seems good.",Culture
578,.,"May 7, 2022 - Program Manager I in Hyderābād",5,Always awesome with employee relations,Not yet found any cons.,Human_Resources
579,like to work because it is a booming industry and it's gives me great opportunity,"May 21, 2022 - in New Delhi",4,"booming industry,good opportunity,work from home,",learn new things and good opportunity,Technology
580,Awesome,"May 21, 2022 - Software Development Engineer (SDE) in Gurgaon, Haryana",4,The work culture is excellent,No such downsides to the company,Culture
581,Process associate- Retail,"May 21, 2022 - Process Associate in Chennai",4,Good work culture Good IT equipments provided,Repeated job Gets boring after few months,Technology
582,Vendor management,"May 18, 2022 - Seller Support Associate in Chennai",4,Can do OT and earn a lot. IJP is available,Need to maintain metrics through out.,Management
583,Good,"May 3, 2022 - Anonymous Employee in Bangalore",5,Working at Amazon is good,I haven't found any cons,Management
584,Good for short term,"May 21, 2022 - Transaction Risk Investigator (TRMS) in Hyderābād",3,Work Timings are very flexible,Work pressure and targets are high,Technology
585,Great place to work,"May 5, 2022 - WFS Staffing Lead in Mumbai",5,Best knowledge gaining enterprise Process oriented Specified role and responsibilities,None as of now things are pretty good,Technology
586,-,"May 6, 2022 - Catalog Associate in Bangalore",5,It’s is a Good company to grow,I don’t have anything to say,Culture
587,Love it here,"May 6, 2022 - Cloud Support Engineer in Bangalore",5,"Good work hours, no night shifts, heavy paycheck",sometimes workload is hectic and can be stressful,Management
588,Good,"May 6, 2022 - Amazon Seller Support Associate in Pune",5,Everything from money to opportunities & work-life balance,Not much other than the fact that it's a support role,Technology
589,Work,"May 6, 2022 - Sps Associate in Bangalore",5,Good work culture New challenges Good recognition,Nothing to be mentioned. It's always day 1 in amazon,Technology
590,One of the top place to work in india,"May 20, 2022 - Software Development Engineer in Bangalore",4,Area of growth. Lot of learning Creative ideas to explore and work on huge scale system. Helpful management. A proper system to define any work done.,Little bit of frugality. Indian teams not not yet fully developed.,Technology
591,Nice,"May 5, 2022 - Software Engineer in Hyderābād",5,Handsome Salary For Freshers Available,Workload is very much high,Technology
592,Good,"May 5, 2022 - Intern in New Delhi",5,Happened well and good and let me see salaries,Cons cons of life cons of relation cons of dwpression,Technology
593,Great Place to work and Grow,"May 5, 2022 - Senior Technical Account Manager in Pune",5,"Inclusive Culture, Great leadership and Customer and Employee Obsessed Organisation. Ample of opportunity for career growth ! Open culture !",None as I can see so far. Just before accepting the offer go through details offer letter thoroughly.,Culture
594,Work Experience,"May 5, 2022 - Associate in Hyderābād",5,* Work location is pretty good * freindly Manager * Good Growths and IJP,* Hike is not good * Insurance,Technology
595,True mnc experience,"May 5, 2022 - Site Operations Manager in Bangalore",5,Good salary and lots to learn! World class!,"Busy schedule in the first year,",Technology
596,Amazing work environment,"May 18, 2022 - Catalog Associate in Bangalore",4,"Work culture, coordination, great opportunity","9 hours of working, too much tools to handle.",Culture
597,Review at Amazon,"May 18, 2022 - CSA - Customer Service Associate in Pune",4,work environment is best in Amazon,salary is less in this organization for,Technology
598,Good,"May 19, 2022 - Test Lead in Chennai",4,Work Environment is Good in Amazon,Nothing in specific but you will get work pressure in initial days,Management
599,Good company,"May 19, 2022 - Customer Support in Pune",4,Nice company to work here,Nothing to tell about cons,Culture
600,Awesome!,"May 19, 2022 - Resolution Specialist in Pune",4,Co-workers are super friendly. Management is great.,Internal Mobility: It's time-consuming to move departments internally.,Management
601,Great,"May 19, 2022 - Transaction Risk Investigator in Bangalore",4,"Nice workplace, good perks, OT benefits, supporting seniors","Sometimes monotonous works, slow growth",Culture
602,Associate,"Jun 10, 2022 - Associate in Bangalore",1,NA NA NA NA NA NA NA NA NA,"Bad Work life balance, no carrer guidance",Management
603,Great Workplace to learn,"May 4, 2022 - Software Development Engineer (SDE) in Gurgaon, Haryana",5,"1. Provides Enough resources for an all round development of an individual. 2. Amazing People with great talent, always there to support.",Nothing as of now .,Technology
604,Nice,"May 4, 2022 - Cloud Support Engineer I in Bangalore",5,A lot of money and opportunity is there,Less work life balance is there,Technology
605,It was great,"May 4, 2022 - Seller Support Associate in Hyderābād",5,Get go learn a lot,It was overall a great experience,Culture
606,Decent Pay kick start for freshers,"May 4, 2022 - Transaction Risk Investigator in Hyderābād",5,The pay is good with OT being double of the pay. Great leaves. Good work culture.,Work gets very monotonous and growth like everywhere else is slow unless you are best among the best,Technology
607,Good work culture!!,"May 4, 2022 - Automation Analyst in Bangalore",5,Top MNC ! Perks ! Benefits! work culture,low hike regionalism none none none,Culture
608,Operations Team Manager,"May 4, 2022 - Team Manager in New Delhi",5,Salary on time Great culture and support Salary on time Medical benefits Career transition,Rotations shifts Rotating teams They entertain more to the agents Metric goals keeps changing Little political folks as well,Technology
609,Perfect Place to kickstart,"May 4, 2022 - Device Associate in Chennai",5,For a new joiner amazon gives lot of areas to explore and to learn. Here each and every team members were giving a warm welcome and sharing their wide knowledge to us. So try to grab your offer at amazon asap.,"As of now, I haven't witnessed anything",Technology
610,Fast paced- tending to stressful work-environment,"May 18, 2022 - Risk Investigation Specialist in Bangalore",4,Great leadership principles. Wonderful opportunity to learn from peers. Benefits such as transportation allowances in turn for office transportation.,"Manager has too much power to decide on and forward your promotional document. Work load is stressful at times. Compensation policy is not the best, as compared to the industry. Promotions are slow.",Technology
611,Regular threats of PIP,"May 19, 2022 - Software Development Engineer (SDE) in Hyderābād",2,1. Opportunity to move globally 2. AWS tech stack familarity 3. Work from home,1. Constant threat of getting fired 2. Comparison culture with other colleagues,Culture
612,Good,"May 18, 2022 - Data Associate in Hyderābād",3,"Good work culture, Good benefits","Shift timings, long hours, repetitive job",Culture
613,Not bad,"May 18, 2022 - Anonymous Employee in Guadalajara, Jalisco",3,Casual and chill company. Relaxed environment,Not much career growth or knowledge,Human_Resources
614,Decent,"May 18, 2022 - Anonymous Employee in Chennai",3,Not great work but decent for begineers.,Too low salary for the work. And too much politics,Technology
615,customer service associate (malayalam & english),"May 2, 2022 - Customer Service Associate in Chennai",5,"5 days of work over time, extra time and night shift allowance can earn Gift cards",handling customers are the toughest helpless at times call flow can be high most days- 9/8 hours continuous talking,Technology
616,Amazing Company,"May 3, 2022 - Operations Manager in Bangalore",5,"Great place to work, Customer obsessed and holds true to its foundational principles. Great opportunities to contribute and grow",Nothing negative is seen so far,Culture
617,good,"May 3, 2022 - Data Analyst in Bangalore",5,very good and kind environment,no cons at all truly,Management
618,BIE,"May 3, 2022 - Bie in Bangalore",5,"Learning new stuffs , great opportunity to explore new things",No work life balance - too much work,Technology
619,Nice Company,"May 17, 2022 - Anonymous Employee in Gurgaon, Haryana",4,You get more perks and benefits,There are more career development opportunities,Human_Resources
620,Tough to work,"May 17, 2022 - Financial Analytics Analyst in Bangalore",4,They pay you well with bonus.,No work life balance at all.,Technology
621,Hectic but controlled,"May 17, 2022 - Customer Service Representative in New Delhi",4,Everyone's behavior is good and you are taken care of properly,the workload is high. So rarely get time for ourselves,Technology
622,Great place to learn,"May 17, 2022 - Software Engineer in Hyderābād",4,"1. Super fast culture where things move, though it slowed down a bit over the last 5 yrs 2. Decent compensation","1. Manager growth path much faster than IC, so lots of poor managers 2. Too diversified to build a unified experience",Technology
623,QA associate manual,"May 17, 2022 - Device Associate in Chennai",4,Good work life balance. Brand name.,Very slow growth Very less salary,Management
624,Lots of learning depending upon different teams,"May 17, 2022 - Frontend Developer in Bangalore",4,learning stock vests at later stage,difficult promos work life balance takes a hit depending upon teams,Technology
625,Good,"May 17, 2022 - Quality Specialist in Hyderābād",4,Good incentives flexible work No pressure,No growth shift plans same work and rest all fine,Management
626,Good company to work for a while,"May 18, 2022 - Data Engineer in Bangalore",2,Good learning curve. Growth opportunities,Hectic and poor work life balance,Culture
627,Work Experience,"Apr 29, 2022 - Selling Partner Support Associate in Hyderābād",5,There are n number of pros at Amazon work culture. Flexibility in work and good behavior of managers make the employees work more efficiently one way or the other it motivates to get the task done.,"There isn't much to say about, as Amazon offers very good amount of care for its employees, but where I felt there is a minute drawback in work is, delays in when raising a query and the swiftness you need adopt, as one finds it difficult in his starting days.",Technology
628,Not bad,"May 17, 2022 - Software Development Engineer (SDE) in Bangalore",3,Good projects but need to be willing to work,Not a very healthy work culture,Technology
629,Amazon Sucks | Abysmal Experience,"Jun 6, 2022 - Anonymous Employee in Bangalore",1,#NAME?,#NAME?,Culture
630,Best Place,"May 1, 2022 - Senior Prod Compliance in Bangalore",5,"1. Great work culture. 2. work-life balance. 3. learn a lot, growth a lot.",1. Can be very competitive sometimes.,Culture
631,Componey where the standards are followed,"May 1, 2022 - ITS in Hyderābād",5,culture is the pro i would say as you can apply the leadership principle on every situation,I have not seen any cons of the company,Management
632,good company,"May 2, 2022 - Customer Service Representative (CSR) in Lucknow",5,peace of mind in work,low salary for csr s,Culture
633,Best place for long-term association,"May 2, 2022 - Program Manager in Bangalore",5,"Great team, great manager, clear directions, scope for learning, inventing, failing, achieving.",Onboarding can be a little smoother. Rest is all good.,Technology
634,Good,"May 2, 2022 - Virtual Customer Service Representative in Jaipur, Rajasthan",5,nice environment while working with team,hardly came across any situation,Culture
635,Everything you want and more,"May 2, 2022 - Community Moderator in Pune",5,"Good understanding team managers, shifts and work load, excellent benefits and timely increments and bonuses",A little too much of waiting and criteria fulfillment for IJP,Technology
636,Best,"May 2, 2022 - Amazon Development Center in Noida",5,Superb and relaxation in this,High work load and pressure,Culture
637,Good company to work,"May 16, 2022 - Human Resources Business Partner HRBP in Mumbai",4,"Great culture, good learning opportunities..",Work can be repetitive and executionary at times..,Culture
638,Great Place to work!,"May 16, 2022 - Catalog Lead in Hyderābād",4,Friendly Work environment Lot of learning opportunities,Insurance is not that good,Culture
639,Opportunities to grow,"May 16, 2022 - Software Engineer II SDE2 in Bangalore",4,Amazon provides multiple opportunities to grow for persons at each level. The scale at which it operates expects the sde to deliver product of highest quality.,Internal systems and tools. Leads to lesser knowledge of industry wide tech.,Technology
640,"Ok, really. Could be better","May 16, 2022 - in Hyderābād",4,"Pays better than peers, marginally better job culture than peers","Boring job, limits to growth",Culture
641,Good,"May 16, 2022 - Quality Analyst in Chennai",4,Work life balance and recognition for the work,Salary they offer for non tech employee,Culture
642,Good Company to Work,"Apr 28, 2022 - Team Lead in Chennai",5,Good place to work with.,Pay Scale is less than other companies,Culture
643,Fast moving,"May 16, 2022 - Software Development Engineer (SDE) in Hyderābād",3,"Very fast moving, steep learning curve",Work life balance is not good.,Management
644,A great work culture,"May 1, 2022 - Customer Service Associate in Coimbatore",5,#NAME?,#NAME?,Culture
645,"V good company, can make a freshers career v quickly","May 1, 2022 - Seller Support Associate in Hyderābād",5,V good company to work with,Timings are pretty annoying some times,Culture
646,great opportunity to be part of this organization.,"May 1, 2022 - Account Health Support Specialist in Hyderābād",5,good work life balance of employee cycle,as i'm a new hire i cannot find any downsides as of now,Technology
647,Work Life balance,"May 1, 2022 - Human Resources Specialist in Hyderābād",5,Best company with work life balance,Little work pressure only in shift timings,Culture
648,Companies Review,"May 15, 2022 - Software Development Engineer (SDE) in Gurgaon, Haryana",4,Lot to learn as a fresher Work with quality minds Good salary,"At times, you need to give more than 9-10 hrs at work",Technology
649,Opportunities to grow,"May 16, 2022 - Software Engineer II SDE2 in Bangalore",4,Amazon provides multiple opportunities to grow for persons at each level. The scale at which it operates expects the sde to deliver product of highest quality.,Internal systems and tools. Leads to lesser knowledge of industry wide tech.,Technology
650,"Ok, really. Could be better","May 16, 2022 - in Hyderābād",4,"Pays better than peers, marginally better job culture than peers","Boring job, limits to growth",Culture
651,Good,"May 16, 2022 - Quality Analyst in Chennai",4,Work life balance and recognition for the work,Salary they offer for non tech employee,Culture
